          k03DCutoffRatio                     ReB0                     ImB0
                     -2.5        -0.62574409294878                        0
        -2.49833277759253       -0.627331856799623                        0
        -2.49666555518506       -0.628927255418019                        0
        -2.49499833277759       -0.630530348619363                        0
        -2.49333111037012       -0.632141196908106                        0
        -2.49166388796265        -0.63375986148858                        0
        -2.48999666555518       -0.635386404276051                        0
        -2.48832944314772       -0.637020887907992                        0
        -2.48666222074025       -0.638663375755591                        0
        -2.48499499833278       -0.640313931935483                        0
        -2.48332777592531       -0.641972621321744                        0
        -2.48166055351784       -0.643639509558121                        0
        -2.47999333111037        -0.64531466307052                        0
         -2.4783261087029       -0.646998149079754                        0
        -2.47665888629543       -0.648690035614566                        0
        -2.47499166388796       -0.650390391524921                        0
        -2.47332444148049       -0.652099286495584                        0
        -2.47165721907302       -0.653816791059988                        0
        -2.46998999666555       -0.655542976614401                        0
        -2.46832277425809       -0.657277915432394                        0
        -2.46665555185062       -0.659021680679632                        0
        -2.46498832944315       -0.660774346428981                        0
        -2.46332110703568       -0.662535987675946                        0
        -2.46165388462821       -0.664306680354454                        0
        -2.45998666222074       -0.666086501352984                        0
        -2.45831943981327       -0.667875528531054                        0
         -2.4566522174058       -0.669673840736087                        0
        -2.45498499499833       -0.671481517820638                        0
        -2.45331777259086       -0.673298640660032                        0
        -2.45165055018339        -0.67512529117039                        0
        -2.44998332777593       -0.676961552327069                        0
        -2.44831610536846       -0.678807508183534                        0
        -2.44664888296099       -0.680663243890652                        0
        -2.44498166055352       -0.682528845716449                        0
        -2.44331443814605        -0.68440440106632                        0
        -2.44164721573858       -0.686289998503717                        0
        -2.43997999333111       -0.688185727771328                        0
        -2.43831277092364       -0.690091679812755                        0
        -2.43664554851617        -0.69200794679471                        0
         -2.4349783261087        -0.69393462212975                        0
        -2.43331110370123       -0.695871800499559                        0
        -2.43164388129376       -0.697819577878795                        0
         -2.4299766588863       -0.699778051559516                        0
        -2.42830943647883       -0.701747320176219                        0
        -2.42664221407136       -0.703727483731485                        0
        -2.42497499166389       -0.705718643622272                        0
        -2.42330776925642        -0.70772090266686                        0
        -2.42164054684895       -0.709734365132477                        0
        -2.41997332444148       -0.711759136763629                        0
        -2.41830610203401       -0.713795324811141                        0
        -2.41663887962654       -0.715843038061959                        0
        -2.41497165721907       -0.717902386869698                        0
         -2.4133044348116       -0.719973483186014                        0
        -2.41163721240413       -0.722056440592763                        0
        -2.40996998999667       -0.724151374335032                        0
         -2.4083027675892       -0.726258401355022                        0
        -2.40663554518173       -0.728377640326854                        0
        -2.40496832277426       -0.730509211692286                        0
        -2.40330110036679       -0.732653237697412                        0
        -2.40163387795932       -0.734809842430343                        0
        -2.39996665555185       -0.736979151859927                        0
        -2.39829943314438       -0.739161293875526                        0
        -2.39663221073691       -0.741356398327898                        0
        -2.39496498832944       -0.743564597071218                        0
        -2.39329776592197       -0.745786024006275                        0
         -2.3916305435145        -0.74802081512489                        0
        -2.38996332110704       -0.750269108555602                        0
        -2.38829609869957       -0.752531044610647                        0
         -2.3866288762921       -0.754806765834313                        0
        -2.38496165388463       -0.757096417052677                        0
        -2.38329443147716       -0.759400145424807                        0
        -2.38162720906969       -0.761718100495471                        0
        -2.37995998666222       -0.764050434249407                        0
        -2.37829276425475       -0.766397301167208                        0
